Societe,Secteur,Nb_Seances,Cours_Initial,Cours_Final,Rendement_Annualise,Rendement_Cumule,Volatilite,Max_Drawdown,Beta,Ratio_Sharpe,Ratio_Sortino,Ratio_Calmar,VaR_95,CVaR_95,Tracking_Error
SOCIETE DES BOISSONS DU MAROC,BOI,652,2399.0,2210.0,5.0369,-7.8783,40.5058,-33.3793,-0.0821,0.0379,0.0435,0.1509,-4.3392,-6.3389,42.6768
ARADEI CAPITAL,SPI,496,440.0,448.9,4.2735,2.0227,25.6189,-28.2609,-0.0562,0.0302,0.0433,0.1512,-2.4502,-3.6012,29.074
MED PAPER,SP,666,31.52,26.0,3.8942,-17.5127,47.2955,-41.3071,0.5943,0.0083,0.012,0.0943,-3.9698,-6.3873,46.948
COSUMAR,AGR,678,205.0,206.0,3.6161,0.4878,26.0558,-28.5714,0.9178,0.0045,0.0055,0.1266,-2.3357,-3.739,23.4509
OULMES,BOI,414,1250.0,1186.0,3.4405,-5.12,36.5335,-27.673,-0.197,-0.0016,-0.0017,0.1243,-5.4618,-5.8156,40.0568
ITISSALAT AL-MAGHRIB,TCO,678,114.5,107.0,1.9245,-6.5502,29.0228,-34.0175,1.1811,-0.0543,-0.0606,0.0566,-1.7741,-3.6991,25.1489
LABEL VIE,DIS,676,4705.0,4231.0,0.8373,-10.0744,30.9547,-19.6704,0.4968,-0.086,-0.1134,0.0426,-2.9859,-4.6333,30.9478
AFRIC INDUSTRIES SA,BMC,669,354.0,338.3,1.2685,-4.435,24.532,-20.8,0.1915,-0.091,-0.1266,0.061,-2.439,-3.3076,26.3936
AFRIQUIA GAZ,PEG,664,4600.0,4076.0,0.1579,-11.3913,30.4865,-20.3822,0.3954,-0.1096,-0.117,0.0077,-3.0961,-4.5084,30.9949
AFMA,ASS,628,1296.0,1226.0,0.4396,-5.4012,23.1596,-18.9902,0.1308,-0.1321,-0.1587,0.0231,-2.0757,-3.3615,25.4894
SNEP,CHI,666,790.0,482.9,-8.1791,-38.8734,43.3246,-45.0759,0.6278,-0.2696,-0.2857,-0.1815,-3.3426,-6.113,42.8296
HPS,LSI,675,6400.0,526.0,-4.8475,-20.0608,26.4576,-29.0883,0.609,-0.3155,-0.4103,-0.1666,-2.6026,-4.0523,25.796
IMMORENTE INVEST,SPI,666,101.0,91.05,-2.5821,-9.8515,16.4093,-16.6238,0.2089,-0.3706,-0.4895,-0.1553,-1.6385,-2.4,18.9624
M2M GROUP,LSI,590,812.0,469.75,-15.8962,-42.149,38.7139,-47.8448,0.27,-0.501,-0.5865,-0.3322,-4.3559,-6.0295,39.6275
